dal_km,al_km,descrizione,tipo_lavoro,importo_lav_principali,importo_lav_totale,data_consegna_impresa,avanzamento_lavori,ultimazione,sospesa,impresa,id,regione,strada,CUP
9.26,11.69,Lavori di adeguamento degli impianti tecnologici. ai sensi del D.L. n? 264 del 05.10.2006 in materia di sicurezza per gallerie della rete stradale trans europea. Galleria Montevetrano I  e II. ,Lavori di manutenzione straordinaria.,2371771.84,2707027.03,11/06/2018,0,27/12/2018,,ATI PAGANO & ASCOLILLO SPA-VISCO DA SNC-EUROWORK SRL,14974,CALABRIA,A3,
26.8,29.45,LAVORI DI M. S. DELLE SCARPATE E DELLE PENDICI MEDIANTE L`INSTALLAZIONE DI RETE PARAMASSI IN ADERENZA.LA POSA IN OPERA DI GABBIONATE E L`INTEGRAZIONE DEI FOSSI DI GUARDIA IN TRATTI SALTUARI TRAI KM 29+450 E 26+800 DELLA SEDE NORD DELL`ASR.,Lavori di manutenzione straordinaria.,447635.82,488010.82,15/06/2018,0,11/11/2018,,I.D.I.R. S.R.L.,14961,CALABRIA,A3,
38.4,38.45,LAVORI DI M.S. PER L`ESECUZIONE DI INTERVENTI DI RINFORZO DELLA PARATIA AL KM 38+400 IN CARREGGIARTA SUD DELL`ASR,Lavori di manutenzione straordinaria.,290701.37,315926.37,26/06/2017,71.8,15/04/2018,,3R COSTRUZIONI SRL,14968,CALABRIA,A3,
41.1,42,LAVORI DI ADEGUAMENTO DEGLI IMPIANTI TECNOLOGICI. AI SENSI DEL D.L. N? 264 DEL 05.10.2006 IN MATERIA DI SICUREZZA PER GALLERIE DELLA RETE STRADALE TRANS EUROPEA - GALLERIA SERRALUNGA TRATTO COMPRESO TRA IL KM 41+000 ED IL KM 42+100 ,Lavori di manutenzione straordinaria.,2550039.54,3187222.31,04/09/2014,99.9,05/07/2015,,ELEF S.P.A.,14969,CALABRIA,A3,
43.55,44.177,Lav. di ad. imp. tecnologici. ai sensi del D.L. n? 264/06 in materia di sic. per gallerie della rete trans europea. Galleria Sagginara compresa tra il km 43+550 e il km 44+177 dell` A3 SA-RC. comprensivi della manut. ordinaria e straordinaria per 3 anni,Lavori di manutenzione straordinaria.,1668574.9,1771610.62,05/06/2015,99.16,13/05/2016,,LIVIO IMPIANTI S.R.L.,14971,CALABRIA,A3,
44.34,45.57,Lav. di ad. imp. tecnologici. ai sensi del D.L. n? 264/06 in materia di sic. per gallerie della rete trans europea. Galleria Serrone Tondo compresa tra il km 44+470 e il km 45+685 dell` A3 SA-RC. comprensivi della manut. ordinaria e straord. per 3 anni,Lavori di manutenzione straordinaria.,2374958.9,2549565.38,31/05/2018,0,16/12/2018,,ATI PAGANO & ASCOLILLO SPA-VISCO DA SNC-EUROWORK SRL,14973,CALABRIA,A3,
60,63,PROGETTO GREEN LIGHT - Sostituzione dei corpi illuminanti con LED di ultima generazione LOTTO 6 - Coordinamento Territoriale ANAS Area Calabria (Area Compartimentale Autostrada A2 del Mediterraneo) Gallerie Costa Incoronata ,Lavori di manutenzione straordinaria.,448650.12,492635.34,26/07/2018,0,22/11/2018,,ATI SIELTE SPA-TEKNO-ELE SRL,14960,CALABRIA,A3,
148.442,304,Accordo quadro per l`esecuzione di lavori di manutenzione della segnaletica verticale e marginale sull?autostrada A3 Salerno ? Reggio Calabria tratto dal km 0+000 al km 442+920 - Carreggiata nord e sud. - Progetto Applicativo N?2 ``Esecuzione dei Lavori di manutenzione della segnaletica verticale (non luminosa) e marginale; Tratto dal Km  148+442 al Km 304+000 - Carr. nord e sud.``,Lavori di manutenzione straordinaria.,981147.82,1022073.1,25/05/2017,97.11,19/12/2017,,SI.SE. SISTEMI SEGNALETICI SPA,14991,CALABRIA,A3,
225,231.7,Lavori di Manutenzione Straordinaria ricorrente per il ripristino della pavimentazione stradale con asportazione anche del binder per l`intera sede nel tratto compreso tra il km 225+000 e il km 231+700 carreggiata Sud (incluso svincolo di Tarsia).,Lavori di manutenzione straordinaria.,1084885.38,1133440.18,12/10/2017,80.69,30/05/2018,,SPOSATO COSTRUZIONI SRL,14966,CALABRIA,A3,
245,250.5,LAVORI DI MANUTENZIONE STRAORDINARIA RICORRENTE PER IL RIPRISTINO DELLA PAVIMENTAZIONE STRADALE CON ASPORTAZIONE ANCHE DEL BINDER PER L`INTERA SEDE NEI TRATTI COMPRESI TRA IL KM 250+500 E IL KM 245+000 CARREGGIATA NORD DELL`ASR.  ,Lavori di manutenzione straordinaria.,1041059.11,1072037.43,04/04/2018,98.89,02/07/2018,,SO.MA.TRA. S.R.L.,14967,CALABRIA,A3,
258.3,258.858,Lav. di ad. imp. tecnologici. ai sensi del D.L. n? 264/06 in materia di sic. per gallerie della rete trans europea. Galleria Serra Spiga compresa tra il km 258+300 e il km 258+828 dell` A3 SA-RC. comprensivi della manut. ordinaria e straord. per 3 anni,Lavori di manutenzione straordinaria.,2982819.49,3118800.2,01/09/2015,99.96,27/02/2016,,I.E.C.I. LOMBARDO S.R.L.,14972,CALABRIA,A3,
259.7,268.133,Accordo quadro. ai sensi dell?art. 59. comma 4. del D.lgs. 163/06 e s.m.i.. per l?esecuzione di lavori di manutenzione del corpo stradale sull?A3 SA-RC Tratta Cosenza Sud ? Altilia dal Km 259+700 al Km 268+133 Carreggiata Sud - Regione Calabria. LOTTO 1.|PROGETTO APPLICATIVO N?1|?Rifacimento integrale pacchetto stradale. giunti e segnaletica?,Lavori di manutenzione straordinaria.,2151748.4,2215413.87,22/11/2016,99.99,27/09/2017,,CONSORZIO STABILE OLIMPIA,14976,CALABRIA,A3,
268.133,276.148,Accordo quadro. ai sensi dell?art. 59. comma 4. del D.lgs. 163/06 e s.m.i.. per l?esecuzione di lavori di manutenzione del corpo stradale sull?A3 SA-RC Tratta Cosenza Sud ? Altilia dal Km 268+133 AL Km 276+148 Carreggiata Sud - Regione Calabria. LOTTO 2. PROGETTO APPLICATIVO N?2 ``Interventi di sistemazione opere idrauliche: fossi di guardia. cunette. canali e  tombini.``,Lavori di manutenzione straordinaria.,2938187.88,3016686.08,21/09/2017,88.24,20/09/2018,,CO.E.ST. COSTRUZIONI E STRADE S.R.L.,14977,CALABRIA,A3,
276.148,286,Accordo quadro. ai sensi dell?art. 59. comma 4. del D.lgs. 163/06 e s.m.i.. per l?esecuzione di lavori di manutenzione del corpo stradale sull?A3 SA-RC Tratta Cosenza Sud ? Altilia dal Km 276+148 al Km 286+000 in Carreggiata Sud - Regione Calabria. LOTTO 3.|PROGETTO APPLICATIVO N?1|?Rifacimento integrale pacchetto stradale. giunti e segnaletica?,Lavori di manutenzione straordinaria.,2452528.26,2523297.26,18/10/2016,99.73,08/04/2017,,ATI ROADS AND ECOLOGY DI GARRAMONE - EDDA ROSSI S.R.L.,14978,CALABRIA,A3,
276.9,286,``Rifacimento integrale pacchetto stradale. rafforzamento ciglio stradale dal km 286+000 al km 276+900. interventi alle frane dei km 285+700. 278+400. 277+300.`` - Progetto Applicativo N?1 ,Lavori di manutenzione straordinaria.,3211855.44,3297823.24,15/09/2017,100,27/03/2018,,EUROPA STRADE S.R.L. SOCIO UNICO,14979,CALABRIA,A3,
276.9,286,``Rifacimento. giunti e segnaletica. opere di recinzione. opere di regimentazione delle acque e rafforzamento ciglio stradale dal km 286+000 al km 276+900`` - Progetto Applicativo N?2 ,Lavori di manutenzione straordinaria.,1788058.81,1842953.34,06/02/2018,61.52,02/12/2018,,EUROPA STRADE S.R.L. SOCIO UNICO,14980,CALABRIA,A3,
292.3,293.65,Lavori di Manutenzione Straordinaria per il ripristino della pavimentazione stradale nel tratto compreso tra il km 292+300 e il km 293+650 carreggiata nord dell`Autostrada A2 del Mediterraneo ,Lavori di manutenzione straordinaria.,167274.97,172130.05,05/07/2018,0,02/09/2018,,CONSORZIO STABILE OLIMPIA,14975,CALABRIA,A3,
304,442.92,Accordo quadro per l`esecuzione di lavori di manutenzione della segnaletica verticale e marginale sull?autostrada A3 Salerno ? Reggio Calabria tratto dal km 0+000 al km 442+920 - Carreggiata nord e sud. - Progetto Applicativo N?3 ``Esecuzione dei Lavori di manutenzione della segnaletica verticale (non luminosa) e marginale; Tratto dal Km  304+000 al Km 442+920 - Carr. nord e sud.``,Lavori di manutenzione straordinaria.,878357.49,916606.3,25/05/2017,97.57,19/12/2017,,SI.SE. SISTEMI SEGNALETICI SPA,14992,CALABRIA,A3,
304.28,320.4,Lavori di Manutenzione Straordinaria per il rifacimento della pavimentazione stradale con stesa di tappeto drenante per l`intera sede in tratti saltuari tra il km 304+280 e il km320+400 in carreggiata nord e dal km 312+600 al km 320+400 in carreggiata sud. ,Lavori di manutenzione straordinaria.,2589781.09,2629781.09,06/11/2017,98.03,18/06/2018,,ATI FALVO ING.SRL-F.LLI FALVO-EGEL,14965,CALABRIA,A3,
337.8,348.6,Accordo Quadro  per l`esecuzione di lavori di manutenzione del corpo stradale sull?A3 Sa-Rc. Tratta Pizzo - S. Onofrio. Lotto n. 1 Tratto dal Km 337+800 al Km 348+600 - Carreggiata Sud - Progetto Applicativo N?2 ``Lavori di manutenzione straordinaria di messa in sicurezza dei versanti attraverso in consolidamento e le opere di protezione passiva dal km 337+800 al km 348+600 carreggiata sud del ASR.``,Lavori di manutenzione straordinaria.,1367423.04,1486043.04,06/02/2017,97.14,08/12/2017,,CONSORZIO STABILE ENGENEERING COSTRUZIONI INFRASTRUTTURE E TECNOL,14981,CALABRIA,A3,
337.8,348.6,Accordo Quadro per l`esecuzione di lavori di manutenzione del corpo stradale sull?A3 SA-RC. Tratta Pizzo - S. Onofrio. Lotto n. 2 Tratto dal Km 337+800 al Km 348+600 - Carreggiata Nord - Progetto Applicativo n?2 ``Lavori di manutenzione straordinaria di messa in sicurezza dei versanti attraverso in consolidamento e le opere di protezione passiva dal km 337+800 al km 348+600 carreggiata nord del ASR.``,Lavori di manutenzione straordinaria.,1359114.48,1477710.48,16/03/2017,98.52,10/11/2017,,CONSORZIO A.R.E.M. LAVORI,14982,CALABRIA,A3,
337.8,348.6, |Accordo Quadro per l`esecuzione di lavori di manutenzione del corpo stradale sull?A3 SA-RC. Tratta Pizzo - S. Onofrio. Lotto n. 2 Tratto dal Km 337+800 al Km 348+600 - Carreggiata Nord - Progetto Applicativo n?4 ``Lavori di manutenzione straordinaria delle opere di raccolta delle acque di piattaforma e delle opere di raccolta delle acque del corpo stradale inclusi gli attraversamenti esistenti (cunette piane. fognoli. embrici. fossi di guardi. tombini. scatolari idraulici ...) dal km 337+800 al km 348+600 carreggiata nord del ASR.``,Lavori di manutenzione straordinaria.,648180.5,658054.5,10/11/2016,55.04,20/11/2017,,CONSORZIO A.R.E.M. LAVORI,14983,CALABRIA,A3,
337.8,348.6,Accordo Quadro per l`esecuzione di lavori di manutenzione del corpo stradale sull?A3 SA-RC. Tratta Pizzo - S. Onofrio. Lotto n. 2 Tratto dal Km 337+800 al Km 348+600 - Carreggiata Nord - Progetto Applicativo n?5 ``Lavori di manutenzione straordinaria per il ripristino della rete di recinzione del confine ANAS dal km 337+800 al km 348+600 carreggiata nord del ASR.``,Lavori di manutenzione straordinaria.,388968.3,410238.3,10/11/2016,96.7,31/10/2017,,CONSORZIO A.R.E.M. LAVORI,14984,CALABRIA,A3,
337.8,348.6,Accordo Quadro per l`esecuzione di lavori di manutenzione delle opere d`arte minori sull`A3 SA-RC. Tratta Pizzo - S.Onofrio. Tratto dal Km 337+800 al Km 348+600 - Carreggiata sud e  Nord - Progetto Applicativo N?1 ``Lavori di Manutenzione Straordinaria per il ripristino degli strati corticali di cls ammalorato dei tombini ricadenti dal km 337+800 al km 348+600 carreggiata sud e nord del ASR.``,Lavori di manutenzione straordinaria.,613670.74,638195.69,23/05/2017,98.75,22/02/2018,,VALORI CONSORZIO STABILE SCARL,14985,CALABRIA,A3,
337.8,348.6,``Lavori di Manutenzione Straordinaria per il ripristino degli strati corticali di cls ammalorato delle opere d`arte e del piazzale ricadenti nel area di sosta di sosta al km 341+500 sud del ASR.`` - Progetto Applicativo N?2 ,Lavori di manutenzione straordinaria.,190569.2,193634.93,23/05/2017,0,25/11/2017,,VALORI CONSORZIO STABILE SCARL,14986,CALABRIA,A3,
337.8,348.6,Accordo Quadro per l`esecuzione di lavori di manutenzione delle opere d`arte minori sull`A3 SA-RC. Tratta Pizzo - S. Onofrio. Tratto dal Km 337+800 al Km 348+600 - Carreggiata sud e Nord - Progetto Applicativo N?3 ``Lavori di Manutenzione Straordinaria per il ripristino degli strati corticali di cls e per l`uniformizzazione delle pile con le opere stradali  dei sovrappassi ricadenti dal km 337+800 al km 348+600 carreggiata sud e nord del ASR.``,Lavori di manutenzione straordinaria.,555537.45,612351.42,23/05/2017,99.8,03/03/2018,,VALORI CONSORZIO STABILE SCARL,14987,CALABRIA,A3,
337.8,348.6,Accordo Quadro per l`esecuzione di lavori di manutenzione delle opere d`arte minori sull`A3 SA-RC. Tratta Pizzo - S. Onofrio. Tratto dal Km 337+800 al Km 348+600 - Carreggiata sud e Nord - Progetto Applicativo N?4 ``Lavori di Manutenzione Straordinaria per il ripristino degli strati corticali dei muri di controripa ricadenti dal km 337+800 al km 348+600 carreggiata sud e nord del ASR.``,Lavori di manutenzione straordinaria.,482861.58,505433.05,23/05/2017,99.66,09/01/2018,,VALORI CONSORZIO STABILE SCARL,14988,CALABRIA,A3,
337.8,348.6,``Lavori di Manutenzione Straordinaria per il ripristino degli  strati corticali di cls ammalorato delle opere d`arte ricadenti nello svincolo di Pizzo del ASR.`` - Progetto Applicativo N?5,Lavori di manutenzione straordinaria.,632669.11,657474.81,23/05/2017,0,30/07/2018,,VALORI CONSORZIO STABILE SCARL,14989,CALABRIA,A3,
338,442.92,AUTOSTRADA A3 SA-RC. LAVORI DI MANUTENZIONE STRAORDINARIA PER L`ADEGUAMENTO DELLE BARRIERE DI SICUREZZA SUGLI SVINCOLI DI PIZZO CALABRO. SANT`ONOFRIO. REGGIO CALABRIA GALLICO. REGGIO CALABRIA PORTO E VILLA SAN GIOVANNI.,Lavori di manutenzione straordinaria.,423273.27,448648.27,03/11/2016,24.7,05/12/2017,,VIASTRADA SAS DI CAROLLO TINDARO E C.,14970,CALABRIA,A3,
2.47,2.839,RA04 - Raccordo autostradale di Reggio Calabria - Lavori di manutenzione straordinaria occorrenti per il rifacimento degli impianti elettrici su tutti gli Svincoli del Raccordo Autostradale e della Galleria Spirito Santo entrambe le carreggiate.,Lavori di manutenzione straordinaria.,734542.29,962198.31,29/06/2018,15.18,25/12/2018,,ATI PAGANO & ASCOLILLO SPA-VISCO DA SNC-EUROWORK SRL,14692,CALABRIA,RA04,
0,0,Interventi di messa in sicurezza della SS 106 Jonica tra i Km 219+000 e 278+000. con particolare riferimento agli svincoli di Curto. Le Castella. Crotone. Torre Melissa. Ciro. Ciro Marina. Crucoli. Cariati. Mandatoriccio. Mirto Crosia. Rossano. Crotone Aeroporto - Stralcio 2 Parte A svincoli di Crotone Aeroporto. Gabella. Nuovo Ciro Marina. La Marinella. Mandatoriccio. Calopezzati. Zolfatara e Innesto Aranceto.,Lavori straordinari per nuove costruzioni.,13126721.45,24323152.81,28/07/2014,50.94,16/07/2016,,A.T.I.  COOP. COSTRUZIONI SOC. COOP SAMMARCO COSTRUZIONI GENERALI S.R.L. ? CALGECO S.R.L.,14700,CALABRIA,SS106,
0,0,MEGALOTTO 4 - Progettazione esecutiva ed esecuzione dei ?lavori di adeguamento della SS 534 come raccordo autostradale (megalotto 4). collegamento tra l`autostrada A3 (svincolo di Firmo) e la SS 106 Jonica (svincolo di Sibari).,Lavori straordinari per nuove costruzioni.,96872793.26,125753419.18,06/06/2016,99.78,24/02/2018,,INTERCANTIERI VITTADELLO S.P.A.,14703,CALABRIA,SS106,
6.715,52,S.S. N. 106 - lavori di manutenzione straordinaria occorrenti per il ripristino del piano viabile fortemente ammalorato in tratti saltuari della SS 106 jonica compresi tra il km 6+715 e il km 52+000,Lavori di manutenzione straordinaria.,423180,438369.75,28/06/2018,0,07/08/2018,,FRANCO GIUSEPPE S.R.L.,14697,CALABRIA,SS106,
44,44.1,S.S. 106 ?Ionica? ? Intervento di ripristino strutturale e consolidamento di un muro di controripa ubicato in prossimita del km 44+050 in agro del comune di Bova Marina. (I? STRALCIO FUNZIONALE),Lavori di manutenzione straordinaria.,792836.85,856147.96,05/10/2017,99.51,26/06/2018,,ITERGA COSTRUZIONI GENERALI S.P.A.,14688,CALABRIA,SS106,
44,45,S.S. n. 106 ?Ionica? ? Intervento di ripristino strutturale e consolidamento di un muro di controripa ubicato in prossimita del km 44+050 in agro del comune di Bova Marina. (II? STRALCIO FUNZIONALE),Lavori di manutenzione straordinaria.,522019.7,855130.81,28/09/2017,99.87,24/06/2018,,CONSORZIO STABILE AGORAA SRL,14694,CALABRIA,SS106,
49.485,51.75,LAVORI DI COSTRUZIONE DELLA VARIANTE  ALL`ABITATO DI PALIZZI MARINA LOTTO 2 DAL KM 49+485 AL KM 51+750 (ex UC9) |PRIMO STRALCIO FUNZIONALE Completamento Carreggiata Nord,Lavori straordinari per nuove costruzioni.,67067739.7,71833419.2,06/08/2015,84.16,27/04/2018,,DE SANCTIS COSTRUZIONI S.P.A,14702,CALABRIA,SS106,
52,87,S.S. N. 106 - lavori di manutenzione straordinaria occorrenti per il ripristino del piano viabile fortemente ammalorato in tratti saltuari della SS 106 jonica compresi tra il km 52+000 e il km 87+000,Lavori di manutenzione straordinaria.,1213495,1259131.69,11/06/2018,0,21/08/2018,,FRANCO GIUSEPPE S.R.L.,14696,CALABRIA,SS106,
87,139,S.S. n. 106 - Lavori di manutenzione straordinaria occorrenti per il ripristino del piano viabile fortemente ammalorato in tratti saltuari della SS 106 jonica compresi tra il km 87+000 e il km 139+100,Lavori di manutenzione straordinaria.,1616200,1667557.91,11/06/2018,94.66,06/09/2018,,FRANCO GIUSEPPE S.R.L.,14695,CALABRIA,SS106,
122,122,Lavori di ricostruzione del viadotto Allaro ubicato sulla Strada Statale n? 106 nel tratto compreso tra il km 122+000 e il km 122+250 parzialmente demolito a seguito agli eventi alluvionali abbattutisi sulla provincia di Reggio Calabria nei giorni 31 ottobre. 1 e 2 novembre 2015,Lavori di manutenzione straordinaria.,1230431.05,1741244.67,22/05/2017,62.37,06/12/2017,,CONS. STABILE MEDIL SOC.CONS. A R.L,14689,CALABRIA,SS106,
175.6,241.6,SS. 106 - SS. 107 - Lavori di Manutenzione Straordinaria per la sostituzione di giunti di dilatazione dei viadotti tra il km 241+00e il km 241+600 e al km 173+900 (viadotto ``Lamia``) della S.S. 106. di sostituzione barriere al km 100+00 della S.S. 107 lungo il ``viadotto Lepre``; di ricostituzione del corpo stradale parzialmente dissestato e realizzazione di relative opere di contenimento tra ikm 282+000 e il km 287+000 e al km 175+600 della S.S. 106,Lavori di manutenzione straordinaria.,364470.9,389743.94,07/11/2017,99.98,05/04/2018,,ATI COSTRUZIONI D.O.C. - ELI COSTRU,14679,CALABRIA,SS106,
187,295,S.S. n.106- Lavori occorrenti per la sostituzione  di parapetti con barriere metalliche in adeguamento alla normativa vigente in tratti saltuari  tra i km. 187+000 e 296+400.-,Lavori di manutenzione straordinaria.,122681.92,199158.57,11/12/2017,96.3,09/05/2018,,TORCHIA PIETRO IMPRESA COSTRUZIONI PERITO EDILE,14677,CALABRIA,SS106,
259,259.8,S.S. N. 106 Lavori di sistemazione idraulica a protezione della pila centrale del viadotto sul fiume Neto al km 259+800,Lavori di manutenzione straordinaria.,158635.99,163635.99,22/09/2017,99.99,09/04/2018,,LUPO` COSTRUZIONI S.R.L.,14676,CALABRIA,SS106,
365.15,400,SS 106 Jonica - Megalotto 3 - Tratto 7? Mandatoriccio - Amendolara: lotti da 12 a 19 - Tratto 8? da Amendolara a Roseto Capo Spulico lotto 1 stralci 1 e 2  (Dall`innesto con la S.S. 534 (km 365+150) a Roseto Capo Spulico (km 400+000)),Lavori straordinari per nuove costruzioni.,570848560.09,611202799.28,26/04/2012,2.11,20/01/2015,,SIRJO SOCIETA` CONSORTILE PER AZION,14699,CALABRIA,SS106,
400.15,414.08,S.S. N. 106 LAVORI DI MANUTENZIONE STRAORDINARIA OCCORRENTI PER IL RIFACIMENTO DELLO STRATO DI COLLEGAMENTO E DEL TAPPETO DI USURA IN TRATTI SALTUARI DELLA SS. 106 ``JONICA`` COMPRESI TRA I KM. 400+150 E 403+150 E TRA I KM. 406+300 E 414+080 (III? STRALCIO,Lavori di manutenzione straordinaria.,992326.4,1038033.07,11/06/2018,95.03,07/09/2018,,ATI TIRRENO BITUMI S.R.L. - COS.IN. S.R.L. - I.C.M.B.  S.A.S.,14687,CALABRIA,SS106,
0,95.52,S.S. N. 107-Lavori di manutenzione straordinaria occorrenti per la fornitura e posa in opera di barriere metalliche di sicurezza in adeguamento alla normativa vigente in tratti saltuari tra i km. 0+000 e 95+520,Lavori di manutenzione straordinaria.,556267.78,601433.33,20/06/2017,99.15,14/07/2018,,SIRIANNI S.R.L.,14678,CALABRIA,SS107,
10.103,11.547,S.S. N. 107  - Lavori di Manutenzione straordinaria per l`efficientamento degli impianti di illuminazione della galleria Crocetta ,Lavori di manutenzione straordinaria.,653382.07,686563.3,06/11/2017,99.25,19/05/2018,,ATI PAGANO & ASCOLILLO SPA-VISCO DA SNC-EUROWORK SRL,14684,CALABRIA,SS107,
34.585,39.04,Lavori di manutenzione straordinaria occorrenti per il ripristino. risanamento ed impermeabilizzazione delle strutture portanti fortemente degradate dei ponti ``Mussano II`` km 34+585. ``Motta I`` km 39+040. della S.S.107 ``S.G.C.``,Lavori di manutenzione straordinaria.,490523.81,530898.81,19/03/2018,84.32,04/10/2018,,ATI AQUA SYSTEM SRL - GIEFFE COSTRU,14680,CALABRIA,SS107,
53,95.52,S.S. N. 107 - Lavori di M.S. occorrenti il ripristino delle opere in c.a. dei viadotti esposti ad avverse condizioni meteorologiche e ad elevato rischio neve in tratti saltuari lungo la SS.107 tra i km 53+000 e 95+520. (I Stralcio),Lavori di manutenzione straordinaria.,686845.9,801459.23,08/11/2017,84.54,27/11/2018,,MPM SRL,14682,CALABRIA,SS107,
64,70,S.S. N. 107 - Lavori di MS occorrenti per il rifacimento  del corpo stradale fortemente degradato a seguito dell`esposizione continuata alle avverse condizioni meteo ed alla azione del gelo nel sottofondo lungo la ss107 ``SGC Paola - Crotone`` dal km 64+000 al km 70+000,Lavori di manutenzione straordinaria.,946074.52,1046674.52,05/07/2017,100,30/01/2018,,A.T.I. BI.CA.MIS S.R.L. - CALABRIA CALCESTRUZZI S.R.L.,14683,CALABRIA,SS107,
0,0.469,S.S. N. 109 BIS DIR Lavori di manutenzione straordinaria per il ripristino corticale del calcestruzzo nonche dei ferri d`armatura degli elementi strutturali del Viadotto Bisantis (ex Morandi),Lavori di manutenzione straordinaria.,756617.06,796209.06,02/07/2018,0,27/01/2019,,ALESSI COSTRUZIONI S.R.L.,14698,CALABRIA,SS109bis-dir,
0,0,SS 182 ``Trasversale delle Serre`` - Tronco 1? - Lotto 2? da A3 svincolo Serre a SP Fondovalle del Mesima - Tronco 1? lotto 1? - 2? stralcio da SP Fondovalle Mesima a Viadotto Scornari e Tronco 3? - lotto 2? da Loc. Cimbello a bivio Montecucco,Lavori straordinari per nuove costruzioni.,21647198.32,29300595.01,23/12/2013,98.56,10/03/2016,,CAVALLERI OTTAVIO  S.P.A. IN LIQUID E CONCORDATO PREVENTIVO,14701,CALABRIA,SS182,
91,92,S.S. N. 182  - Lavori di manutenzione straordinaria per la messa in sicurezza dell`innesto a raso al km 91+200 nel Comune di Satriano,Lavori di manutenzione straordinaria.,300082.92,502442.59,08/03/2017,100,02/12/2017,,SCIVOLETTO GEOM. GIULIO IMPRESA COSTRUZIONI DI,14681,CALABRIA,SS182,
487,488,S.S. n. 018 Lavori di messa in sicurezza della S.S. 18 nel Comune di Palmi al km 487+500 in Localita Trodio,Lavori di manutenzione straordinaria.,429289.62,627514.28,18/09/2017,99.73,11/11/2018,,BASENTINI S.R.L.,14686,CALABRIA,SS18,
496,518,SS18 - ``Tirrena Inferiore`` - Lavori di manutenzione straordinaria occorrenti  per l`adeguamento di barriere guard-rail secondo la normativa vigente. tra il km 496+000 e il km 518+000 - II? Stralcio,Lavori di manutenzione straordinaria.,604236.9,644611.9,23/03/2018,61,18/09/2018,,TESORO S.R.L.,14693,CALABRIA,SS18,
499,518,SS18 - Tirrena Inferiore - Lavori di manutenzione straordinaria occorrenti per il mantenimento in efficienza delle opere di protezione passiva da caduta massi tra il km 499+00 e il km 518+000.,Lavori di manutenzione straordinaria.,656410.76,691785.76,18/12/2017,99.95,15/06/2018,,CPC S.R.L,14691,CALABRIA,SS18,
30.085,31.003,S.S. N. 280 - Galleria ``Sansinato``  Lavori di adeguamento degli impianti tecnologici. ai sensi del D.L. n? 264 del 05/10/2006 in materia di sicurezza per gallerie della rete stradale trans europea,Lavori di manutenzione straordinaria.,2811882.7,3178141.61,16/03/2015,98.44,01/06/2016,,DE NISI TOMMASO,14675,CALABRIA,SS280,
21.65,21.77,Lavori di manutenzione straordinaria per il ripristino del corpo stradale interessato da fenomeni di dissesto idrogeologico tra il km. 21+750 e il km. 21+870 e per il consolidamento del corpo stradale e del muro di sottoscarpa tra il km. 22+150 ed il km. 22+250 della S.S. n? 481,Lavori di manutenzione straordinaria.,349094.52,375983.41,30/01/2018,66.18,26/09/2018,,LIFE S.R.L.,14685,CALABRIA,SS481,
0,0,RA04 - SS18 - SS106 - SS721 - SS682 - NSA281 - NSA386 - SS682Dir- Lavori di manutenzione straordinaria occorrenti per il ripristino della segnaletica verticale e marginale.,Lavori di manutenzione straordinaria.,238831.56,264264.89,03/05/2018,0,31/07/2018,,ITAL SEM S.R.L.,14690,CALABRIA,VARIE,
0,1,LAVORI DI MANUTENZIONE STRAORDINARIA PER INTERVENTI URGENTI ALLE STRUTTURE METALLICHE ED C.A. DEL SOVRAPPASSO ALL`A/16 NA-BA,Lavori di manutenzione straordinaria.,744480.82,926263.86,24/05/2018,0,20/09/2018,,R.T.I. LAVORITALIA SRL-CO.GE.VER SR,14774,CAMPANIA,RA09,
2.65,25.5,S.S. 145 DAL KM 2+650 AL KM 25+500 - |LAVORI DI MANUTENZIONE STRAORDINARIA PER IL RIFACIMENTO DELLA PAVIMNENTAZIONE STRADALE NEI TRATTI SPECIFICATI ALL`INTERNO DEL PROGETTO. COMPRESO IL RIFACIMENTO DELLA SEGNALETICA STRADALE,Lavori di manutenzione straordinaria.,586573.79,667462.68,07/12/2017,76.9,21/04/2018,,ATI RILLO COSTRUZ. - TECNOCOSTRUZIO LA.BIT,14783,CAMPANIA,SS145,
54.85,54.85,S.S. 18 TANG. SA|INTERVENTI LOCALI FINALIZZATI AL MIGLIORAMENTODELLE CONDIZIONI DI SICUREZZA DEL VIADOTTO CRISTOFORO AL KM 54+850,Lavori di manutenzione straordinaria.,2126228.02,2571466.38,27/08/2015,98.98,06/03/2018,,PELUSO COSTRUZIONI SRL,14787,CAMPANIA,SS18,
54.85,54.85,S.S. 18 TANG. SA|INTERVENTI LOCALI FINALIZZATI AL MIGLIORAMENTO DELLE CONDIZIONI DI SICUREZZA DEL VIADOTTO IRNO AL KM 54+850 CARR. SUD,Lavori di manutenzione straordinaria.,1670355.37,2007911.37,27/08/2015,14.97,06/12/2018,,PELUSO COSTRUZIONI SRL,14788,CAMPANIA,SS18,
65.4,65.4,S.S. 18|INTERVENTI LOCALI FINALIZZATI AL MIGLIORAMENTO DELLE CONDIZIONI DI SICUREZZA DEL VIADOTTO AL KM 65+400,Lavori di manutenzione straordinaria.,1052771.2,1359669.31,27/08/2015,86.75,06/11/2017,,GLOBAL STRADE S.R.L.,14789,CAMPANIA,SS18,
